 1/2017	 11/01/2017	 14/02/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 ao Senhor RIQUELMO BEDIN, Secretário da Secretaria de Saúde de Chapecó, ao Senhor ÉCIO BORDIGNON, Superintendente Regional do Oeste da CASAN, e ao Senhor ALEXANDRE ESTEFANI, Promotor de Justiça da 9ª Promotoria de Justiça da Comarca de Chapecó, para, considerando as informações abaixo explanadas, sejam convidados para participarem de Audiência Pública, a ser realizada no Plenário da Câmara de Vereadores em data e hora a ser definida previamente junto ao proponente do presente Requerimento. Nos Bairros Bela Vista e Parque das Palmeiras, nesta cidade de Chapecó, existem “respiros” ou “canos” que provém das tubulações subterrâneas de esgoto, ultrapassando o limite da calçada, chegando à altura aproximada de 2 a 5 metros, encerrando-se com uma curva curta e aberta. Referidas tubulações expelem odores desagradáveis, especialmente no período noturno. Tais “respiros” são chamados de dutos de esgoto. Ocorre que muitas vezes a situação fica insuportável, pois, especialmente no bairro Bela Vista, tais dutos chegam a espirrar dejetos, piorando o odor desagradável e colocando em risco a saúde pública. Aliás, uma das moradoras do Bairro Bela Vista chegou a apresentar reclamação ainda no ano de 2012, perante o Procon desta cidade, em face da empresa responsável por tais dutos, a CASAN - Companhia Catarinense de Água e Saneamento. A Reclamação foi autuada sob o número 26164. Adveio à referida Reclamação resposta da CASAN, na qual se depreende que todo o esgoto coletado nos bairros Cristo Rei e Bela Vista passa justamente pela rua na qual residem os moradores Reclamantes do Bairro Bela Vista, para então chegar à ETE – Estação de Tratamento de Esgoto. O espirro de dejetos e o mal cheiro, conforme a CASAN, advém em razão da formação de gases, e o problema foi agravado após a pavimentação daquela Rua, que teria LACRADO AS TAMPAS DE SISTEMA DE ESGOTO, acumulando ainda mais gás e fazendo que os dejetos espirrados sejam cada vez em maior quantidade. Na referida resposta, ainda, se depreende a alegação da CASAN de que estava tentando resolver o problema. porém, os moradores ainda permanecem na mesma situação, que tende a se agravar com a vinda do verão. A Reclamação supracitada foi arquivada pelo Procon, muito embora encerrada apenas com a promessa da CASAN em tentar amenizar o problema. São por essas razões que o vereador proponente apresenta este Requerimento, para fins de realização de Audiência Pública com as autoridades competentes para o fim de explanarem e encontrar soluções práticas para o problema acima relatado, do qual sofrem moradores especialmente do Bairro Parque das Palmeiras e Bela Vista. Termos em que, pede deferimento. 
 198/2017	 20/06/2017	 23/06/2017	 Vereador	 	»»CLEBER CECCON 	Aprovada 	
 199/2017	 20/06/2017	 08/08/2017	 Vereador	 	»»ILDO ADÃO ANTONINI ADÃO VALCIR TEODORO ADERBAL ANTONIO P. DA SILVA ARESTIDE FIDELIS ASTRIT MARIA SAVARIS TOZZO CLAIMAR CESAR DE CONTO CLEBER CECCON CLEITON MARCIO FOSSÁ DELVINO DALL ROSA DERLI MAIER DIEGO FERNANDO ALVES JATIR JOSE BALBINOT JOÃO LUIS SIQUEIRA JOÃO MARIA MARQUES ROSA JOSE CELIO PORTELA MARCILEI ANDREA P. VIGNATTI NEURI LUIZ MANTELLI ORIDES ANTUNES ROBERTO CARLOS N. DOS SANTOS VALDEMIR ANTONIO STOBE VALMOR JÚNIOR SCOLARI 	Aprovada 	
 200/2017	 20/06/2017	 21/06/2017	 Vereador	 	»»JOSE CELIO PORTELA 	Retirada	 O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor, solicitam que após as tramitações legais, Vossa Excelência submeta está ao plenário, e se aprovado, seja encaminhado ofício a Excelentíssima Senhora VERA MARIA GONÇALVES DIAS DA COSTA DA ROSA – Diretora Geral do Centro Associativo de Atividades Psicofísicas Patrick - CAPP e ao Excelentíssimo Senhor IVONEI BARBIERO – Presidente do Centro Associativo de Atividades Psicofísicas Patrick – CAPP, CONVIDANDO-OS para participar de uma Sessão Ordinária e explanar sobre as atividades desenvolvidas pelo Centro Associativo de Atividades Psicofísicas Patrick – CAPP. Termos em que, pede deferimento. 
 201/2017	 21/06/2017	 22/06/2017	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada	 REQUERENDO-LHE AS SEGUINTES INFORMAÇÕES: De acordo com a Lei Municipal 6664/14, que dispõe sobre a obrigatoriedade dos restaurantes, bares e outros estabelecimentos similares do Município de Chapecó, disponibilizar em seus cardápios a quantidade em unidade de medida, dos alimentos, refeições, porções e bebidas comercializadas. 
 202/2017	 21/06/2017	 06/02/2018	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Retirada	 O(s) Vereador(es) que este subscreve(m), amparados no Art. 5º, combinado com os artigos 23, inciso XIII do art. 34, art. 
 203/2017	 29/06/2017	 07/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 204/2017	 29/06/2017	 09/08/2017	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada	 REQUERENDO-LHE: As seguintes informações: Os professores da Secretaria de Educação, CRISTIANE METZGER, DANIELA ZANINI, KAREN DEL CLARO RIGO, LICIA JUSSARA PERTILLE, LUIZ ALFREDO BAYS, ROGERIO SCHAWAAB, WANDERLEI SEBALHOS, que estão vinculados à Secretaria de Esportes, recebem Regência de Classe? Se recebem, qual a justificativa para que recebam? Termos em que, pede deferimento. 
 205/2017	 30/06/2017	 08/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 REQUERENDO-LHE: Que, considerando as informações adiante explanadas, envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO a informação de moradores de que recentemente, ao procurar atendimento na Superintendência Efapi por três oportunidades, depararam-se com o órgão fechado e com aviso de atendimento em horários diversos. CONSIDERANDO que o Município retornou ao turno único. CONSIDERANDO que os serviços públicos são dotados do princípio da continuidade, não podendo ser interrompidos ao bel prazer de agentes públicos, REQUER: A) Seja informado o horário de funcionamento da Superintendência do Bairro Efapi. B) Sejam informadas as razões pelas quais ocorreu a situação acima relatada, indicando os motivos de todos os fechamentos ou indisponibilidades do órgão no corrente ano. Adverte-se que, conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que, pede deferimento. 
 206/2017	 03/07/2017	 07/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 207/2017	 03/07/2017	 07/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 REQUERENDO-LHE: Que, considerando as informações adiante explanadas, enviem as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO a informação de proprietários de terrenos do chamado Loteamento Dom Leonardo, anteriormente conhecido como Lotamento Cadore, região do Bairro Efapi, acerca da demora na conclusão de toda a infraestrutura pública (pavimentação, iluminação, fornecimento de água, etc). CONSIDERANDO que a data limite de entrega do referido condomínio era até 20/12/2016. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento da atual situação, como também contribuir para apontar soluções, REQUER as seguintes informações: a Seja informada a fase em que se encontra o procedimento de conclusão do referido loteamento, informando de forma pormenorizada eventuais problemas encontrados, forma de solucioná-los, quais serão os próximos passos e a previsão de sua aprovação/liberação, com apresentação dos documentos respectivos. Adverte-se que, conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que, pede deferimento. 
 208/2017	 04/07/2017	 08/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 209/2017	 10/07/2017	 08/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 O(s) Vereador(es) que este subscreve(m), no exercício do poder lhes conferido pelo artigo 87, inciso III, do Regimento Interno desta Câmara Municipal, e demais disposições legais aplicáveis, solicita(m), após as devidas tramitações legais, seja enviado ofício ao Senhor LUCIANO JOSÉ BULIGON - Prefeito Municipal de Chapecó, para que, considerando as informações adiante explanadas, envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO a reclamação advinda de cidadãos, acerca do valor muito acima do valor de mercado cobrado a título de guincho e diárias da concessionária Caiuá, em caso de remoção de veículos em situação de irregularidade. CONSIDERANDO que, em atendimento a uma solicitação feita pelo gabinete do vereador proponente ao site de transparência do Município, em ocasião em que se solicitou da Prefeitura os valores atualizados das diárias e demais taxas, verificou-se que, para automóveis de passeio, o valor da diária é de R$ 7,00, acrescido da taxa de guarda de R$15,00 e guincho de R$ 50,00, totalizando o valor de R$ 72,00. CONSIDERANDO que, em contrapartida, cidadãos denunciam que em caso de veículos de passeio o valor atualmente cobrado da população chega a R$ 285,00 no total, por dia. CONSIDERANDO que em consulta à legislação no site da Prefeitura verifica-se a total inexistência de Decreto de aumento de preços do serviço supracitado, e que a inexistência de tal ato normativo foi confirmado pela resposta do Município ao pedido realizado no site da transparência, (2017.0061.000175), REQUER: A) Seja informado o valor atualizado cobrado pelo serviço supracitado, por cada espécie de veículo, apresentando o ato normativo embasador respectivo (Decreto). B) Caso o valor do serviço tenha sido atualizado desde a assinatura do contrato, apresentar os aditivos e decretos de todas as mudanças, bem como, os pareceres jurídicos ou administrativos que embasaram os aumentos. C) Relativamente ao pedido de letra “B” seja informada a razão de inexistência de publicidade do decreto de aumento dos valores. Adverte-se ainda que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que, pede deferimento. 
 210/2017	 10/07/2017	 Vereador	 	»»VALMOR JÚNIOR SCOLARI 	Entrada	 na Ordem do Dia 	
 211/2017	 11/07/2017	 07/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 O(s) Vereador(es) que este subscreve(m), no exercício do poder lhes conferido pelo artigo 87, inciso III, do Regimento Interno desta Câmara Municipal, e demais disposições legais aplicáveis, solicita(m), após as devidas tramitações legais, seja enviado ofício ao Sr. LUCIANO JOSÉ BULIGON, Prefeito Municipal de Chapecó, para que, considerando as informações adiante explanadas, enviem as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO a reclamação de moradores do Bairro Passo dos Fortes, que se encontram à beira do córrego que corta a Rua 14 de Agosto, acerca da constante inundação em épocas de chuvas constantes. CONSIDERANDO a previsão do artigo 174, §3º, do Novo Plano Diretor, segundo o qual admite a canalização de cursos d´água, desde que haja estudos técnicos, licenciamento ambiental e autorização emitida pelo Município. CONSIDERANDO a informação de que tais moradores já teriam procurado o Município a fim de informarem-se e solicitar a respectiva canalização, sem contudo ter obtido informações a respeito, REQUER: a) seja informado se existiu ou existe algum procedimento, em trâmite ou não, a respeito do pedido de canalização do curso d´água supracitado, apresentando as decisões porventura já tomadas acerca de eventuais aprovações ou desaprovações a respeito, com todos os respectivos documentos comprovadores. b) seja informado se já houve ou há previsão orçamentária para a realização da obra, indicando as respectivas rubricas. Caso não haja, seja informada a alternativa que será tomada pelo Município a respeito. Adverte-se que, conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que, pede deferimento. 
 212/2017	 11/07/2017	 07/08/2017	 Vereador	 	»»VALMOR JÚNIOR SCOLARI 	Aprovada	 O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor. Solicita(m) que após as tramitações Legais, Vossa Excelência submeta este ao plenário, e se aprovado, seja encaminhado ofício ao Senhor VALDIR CRESTANI, Secretário Municipal de Desenvolvimento Rural e Meio Ambiente, Sr. FRANKLIN SILVEIRA DE BRUM JÚNIOR, Secretário Municipal de Desenvolvimento Urbano, Sr. IVALDO PIZZINATO, Secretário Municipal de Infraestrutura Urbana, Tenente Coronel Sr.JORGE LUIZ HAACK, Comandante do 2º Batalhão de Polícia Militar Ambiental, Sr. ANDRÉ BADALOTTI PASSUELO, Presidente do SINDUSCON, Sr. MAURO ZANDAVALLI, Gerente de Políticas Econômicas Urbanas e Rurais da Agência de Desenvolvimento Regional (ADR) de Chapecó e ao Sr. RAFAEL GASPARINI, Gerente de Desenvolvimento Ambiental da FATMA (Fundação do Meio Ambiente) de Santa Catarina, CONVIDANDO-OS para uma REUNIÃO DE TRABALHO, visando discutir sobre a destinação dos resíduos de material de construção no Município de Chapecó. As atividades do setor da construção civil tem se intensificado nos últimos anos no Município e com isso, diversas situações irregulares foram se criando, como a criação de aterros clandestinos para o depósito dos resíduos gerados. Deste modo, para que seja criada uma política de destinação e gestão adequadas, é necessário que este problema seja discutido e disciplinado, como forma de minimizar os aspectos ambientais, sendo este o principal objetivo desta reunião de trabalho. Considera-se como resíduos, os provenientes de construções, reformas, reparos e demolições de obras de construção civil, e os resultantes da preparação e da escavação de terrenos, tais como: tijolos, blocos cerâmicos, concreto em geral, solos, rochas, metais, resinas, colas, tintas, madeiras e compensados, forros. 
 213/2017	 11/07/2017	 08/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 214/2017	 13/07/2017	 08/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 O(s) Vereador(es) que este subscreve(m), no exercício do poder lhes conferido pelo artigo 87, inciso III, do Regimento Interno desta Câmara Municipal, e demais disposições legais aplicáveis, solicita(m), após as devidas tramitações legais, seja enviado ofício ao Sr. LUCIANO JOSÉ BULIGON, Prefeito Municipal de Chapecó, para que, considerando as informações adiante explanadas, envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento das mais variadas atuações do Município de Chapecó, como também contribuir para apontar soluções e sugestões de melhoramento, REQUER: A) Cópia integral do projeto, inclusive projeto de execução, da Praça Monumento 100 Anos de Chapecó, objeto da Licitação 191/2017. B) Cópia integral de todo o procedimento licitatório, independentemente da fase em que se encontre. B) Se na ocasião de resposta a esse Requerimento já tenha sido contratado o serviço, apresentar o respectivo contrato. Adverte-se que, conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que, pede deferimento. 
 215/2017	 14/07/2017	 08/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 216/2017	 17/07/2017	 08/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 O(s) Vereador(es) que este subscreve(m), no exercício do poder lhes conferido pelo artigo 87, inciso III, do Regimento Interno desta Câmara Municipal, e demais disposições legais aplicáveis, solicita(m), após as devidas tramitações legais, seja enviado ofício ao Senhor LUCIANO BULIGON, Prefeito Municipal de Chapecó, para que, considerando as informações adiante explanadas, enviem as INFORMAÇÕES ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO a reclamação advinda da comunidade acerca dos horários de atendimento ao usuário do transporte público coletivo de Chapecó. CONSIDERANDO o fato de que o serviço de transporte é considerado essencial pela Constituição Federal, não sendo razoável a restrição a horário praticamente comercial para atendimento e carregamento de créditos por parte da população, especialmente em razão do fato de que os usuários em sua maioria são trabalhadores e estudantes que necessitam optar por horário alternativo. CONSIDERANDO a existência de pessoas carentes, que, muito embora exista a possibilidade de recarga online ou outras facilidades da tecnologia, ainda possuem dificuldade de acesso e, portanto, necessitam do atendimento presencial. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento das mais variadas atuações do Município de Chapecó, como também contribuir para apontar soluções e sugestões de melhoramento, REQUER: A) Seja informado o horário de atendimento aos usuários em todos os pontos de atendimento, de ambas as concessionárias, com relação a todas as espécies de serviços/atendimentos. B) Caso o horário de atendimento seja o comercial, ou similar ao comercial, com interrupção ao meio dia inclusive, seja tomada providências por parte do Município para que as concessionárias atendam o público em horários alternativos, sugerindo: b.1) a não interrupção do atendimento ao meio dia. b.2) início de atendimento mais cedo do horário comercial (7h). b.3) e mais tempo de atendimento de fim de expediente, após o horário comercial, sugerindo que seja até às 19h. C) Seja enviado a esta Câmara informações de resultados das provid~encias tomadas e referidas no item “b”. Adverte-se que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas. Termos em que, pede deferimento. 
 217/2017	 18/07/2017	 11/09/2017	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Aprovada 	
 218/2017	 18/07/2017	 07/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 para que, considerando as informações adiante explanadas, enviem as INFORMAÇÕES ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento das mais variadas atuações do Município de Chapecó, como também contribuir para apontar soluções e sugestões de melhoramento, REQUER: A) Seja apresentado o Estudo de Impacto de Vizinhança do condomínio Sitracarnes, localizado no Bairro Efapi. Adverte-se que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas. Termos em que, pede deferimento. 
 219/2017	 20/07/2017	 08/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 220/2017	 20/07/2017	 16/10/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Rejeitada	 para que, considerando as informações adiante explanadas, enviem as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento das mais variadas atuações do Município de Chapecó, como também contribuir para apontar soluções e sugestões de melhoramento, REQUER: A) Seja apresentada prestação de contas acerca de todos os valores a título de aluguéis que foram arrecadados pelo Município em razão do uso do Centro de Cultura e Eventos Plínio Arlindo de Nes, compreendendo o período de início das atividades do local até a data de resposta a este Requerimento. B) Sejam informados e comprovados todos os gastos com manutenção do Centro, inclusive de pessoal. C) Sejam informada e comprovada a destinação desses recursos. Adverte-se que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas. Termos em que, pede deferimento. 
 221/2017	 20/07/2017	 16/10/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Rejeitada	 para que, considerando as informações adiante explanadas, enviem as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento das mais variadas atuações do Município de Chapecó, como também contribuir para apontar soluções e sugestões de melhoramento, REQUER: A) Seja apresentada relação de todos os procedimentos licitatórios (ou compras diretas) de contratação de seguros de todas as feiras da Efapi, no período de 2009 até a data de resposta a este Requerimento. Adverte-se que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas. Termos em que, pede deferimento. 
 222/2017	 26/07/2017	 11/09/2017	 Vereador	 	»»CLEBER CECCON ADÃO VALCIR TEODORO ADERBAL ANTONIO P. DA SILVA ANTONIO CIVALDO MENDES ARESTIDE FIDELIS CLAIMAR CESAR DE CONTO CLEITON MARCIO FOSSÁ DELVINO DALL ROSA DERLI MAIER DIEGO FERNANDO ALVES ILDO ADÃO ANTONINI JATIR JOSE BALBINOT JOÃO LUIS SIQUEIRA JOÃO MARIA MARQUES ROSA JOSE CELIO PORTELA MARCILEI ANDREA P. VIGNATTI NEURI LUIZ MANTELLI ORIDES ANTUNES ROBERTO CARLOS N. DOS SANTOS VALDEMIR ANTONIO STOBE VALMOR JÚNIOR SCOLARI 	Aprovada 	
 223/2017	 28/07/2017	 09/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 LUCIANO BULIGON, Prefeito Municipal de Chapecó, para que, considerando as informações adiante explanadas, enviem as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO que os moradores do Condomínio Parque das Andorinhas, localizado no Bairro Efapi, informam que as ruas públicas de acesso ao local onde se encontra o condomínio foram feitas em largura inferior ao legalmente estabelecido. CONSIDERANDO que a situação das vias conforme supracitado impede a circulação de transporte público e a passagem regular de qualquer outro veículo grande, como por exemplo dos bombeiros. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento das mais variadas atuações do Município de Chapecó, como também contribuir para apontar soluções e sugestões de melhoramento, REQUER: A) Seja apresentado o Estudo de Impacto de Vizinhança do Condomínio Parque das Andorinhas, localizado no Bairro Efapi. B) Sejam informadas as razões pelas quais as ruas públicas de acesso ao condomínio se encontram em largura inferior ao legalmente estabelecido. C) Seja informado quais as medidas que o Governo Municipal pretende tomar a respeito, considerando que a área entorno do Condomínio tenderá a crescer e necessitar ainda mais de serviços de transporte público, bem como, considerando a necessidade de plena acessibilidade por questões de cidadania e segurança. Adverte-se que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas. Termos em que, pede deferimento. 
 224/2017	 31/07/2017	 09/08/2017	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada	 REQUERENDO-LHE AS SEGUINTES INFORMAÇÕES: a) Por qual motivo os Agentes de Vigilância Sanitária estão sendo transferidos e estão sendo contratados novos Agentes? b) Como serão realizadas as tarefas de fiscalização já que os novos concursados contratados não tem o curso de Ações de Vigilância Sanitária que os capacita para as atividades de fiscalização? Há uma incompreensão por parte dos servidores que estão sendo substituídos por terem o curso de Ações de Vigilância Sanitária e estarem aptos ao serviço, e os novos Agentes não terem o curso de Ações de Vigilância e, por consequência, não estarem aptos ao trabalho, por isso deste questionamento. Termos em que, pede deferimento. 
 225/2017	 01/08/2017	 09/08/2017	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada	 REQUERENDO-LHE A SEGUINTE INFORMAÇÃO: Por que ainda não foi instalada uma contenção fixa na entrada do estacionamento para caminhões da Sadia? Neste local já ocorreram diversos acidentes devido à manobras imprudentes de motoristas que saem do estacionamento para entrar na via. A sinalização e colocação de contenção fixa em meio a pista para que os caminhões entrem na via pela mão correta de direção e façam o contorno apenas em locais seguros certamente diminuiria o risco de acidentes no local. Termos em que, pede deferimento. 
 226/2017	 03/08/2017	 08/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 227/2017	 03/08/2017	 19/12/2018	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI ADÃO VALCIR TEODORO ADERBAL ANTONIO P. DA SILVA ANTONIO CIVALDO MENDES ARESTIDE FIDELIS CLAIMAR CESAR DE CONTO CLEBER CECCON CLEITON MARCIO FOSSÁ DELVINO DALL ROSA DERLI MAIER DIEGO FERNANDO ALVES ILDO ADÃO ANTONINI JATIR JOSE BALBINOT JOÃO LUIS SIQUEIRA JOÃO MARIA MARQUES ROSA JOSE CELIO PORTELA NEURI LUIZ MANTELLI ORIDES ANTUNES ROBERTO CARLOS N. DOS SANTOS VALDEMIR ANTONIO STOBE VALMOR JÚNIOR SCOLARI 	Retirada 	
 228/2017	 04/08/2017	 09/08/2017	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada	 REQUERENDO-LHE: A SEGUINTE INFORMAÇÃO: Com relação a indicação de nº 383/2016, aprovada em 09/05/2016, que solicitava a proibição de estacionamentos de veículos nos dois lados da Rua Brasília, iniciando na Auto Viação Chapecó até o final da rua próximo ao Ginásio do Sesc, por ser uma reivindicação dos moradores, professores e alunos das Escolas Rui Barbosa e SESC devido ao estreitamento da rua e o grande fluxo de alunos nesses estabelecimentos, gostaria de saber se é possível atender a indicação? E se não for possível, há algo que possa ser feito para melhorar o tráfego no local? Termos em que, pede deferimento. 
 229/2017	 07/08/2017	 08/08/2017	 Vereador	 	»»CLAIMAR CESAR DE CONTO 	Aprovada	" O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor, solicitam que após as tramitações legais Vossa Excelência submeta este ao plenário, e se aprovado, se envie ofício à Senhora KAREN BISSANI – Diretora de Regularização Fundiária, CONVIDANDO-A para estar presente em uma sessão ordinária Nesta Casa, para explanar sobre o programa de Regularização ""Bairro Legal"" da Prefeitura de Chapecó, programa este que visa detalhar as atividades necessárias para implementação das ações jurídicas, urbanísticas, ambientais e sociais relacionadas à regularização e urbanização das áreas de Interesse Social de propriedade do Município de Chapecó. Termos em que pede deferimento. "
 230/2017	 07/08/2017	 11/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 231/2017	 08/08/2017	 21/08/2017	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Aprovada	 a Senhora ASTRIT TOZZO – Secretária Executiva da Agência de Desenvolvimento Regional, o Senhor MARCIO SANDER – Secretário de Desenvolvimento Econômico e Turismo e os proprietários dos boxes localizados na Avenida Nereu Ramos, CONVIDANDO-OS para uma REUNIÃO DE TRABALHO, a ser agendada pela Secretaria Desta Casa Legislativa, a fim de tratar sobre a situação dos camelôs da Nereu Ramos e pensar alternativas para sua permanência no local. Os proprietários de boxes situados na Avenida Nereu Ramos em Chapecó, têm sofrido com a insegurança da manutenção de seus negócios devido as constantes ordens de despejo por parte do Governo do Estado. Nós, como legisladores, precisamos intermediar esse diálogo a fim de que possamos pensar em alternativas para que se tome a decisão que menos interfira na vida e no trabalho desses chapecoenses. Termos que pede deferimento. 
 232/2017	 10/08/2017	 23/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 233/2017	 10/08/2017	 21/08/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 O(s) Vereador(es) que este subscreve(m), no exercício do poder lhes conferido pelo artigo 87, inciso III, do Regimento Interno desta Câmara Municipal, e demais disposições legais aplicáveis, solicita(m), após as devidas tramitações legais, seja enviado ofício ao Sr. LUCIANO BULIGON, Prefeito Municipal de Chapecó, para que, considerando as informações adiante explanadas, enviem as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento das mais variadas atuações do Município de Chapecó, como também contribuir para apontar soluções e sugestões de melhoramento, REQUER: A) Sejam informados quais os equipamentos obrigatórios que constam na lista de requisitos municipais para a liberação de alvarás de funcionamento e piscinas residenciais e coletivas, indicando o(s) respectivo(s) ato(s) normativo(s) ou legal(is). Adverte-se que conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas. Termos em que, pede deferimento. 
 234/2017	 10/08/2017	 01/02/2019	 Vereador	 	»»JOÃO MARIA MARQUES ROSA ADÃO VALCIR TEODORO ADERBAL ANTONIO P. DA SILVA ANTONIO CIVALDO MENDES ARESTIDE FIDELIS CLAIMAR CESAR DE CONTO CLEBER CECCON CLEITON MARCIO FOSSÁ DELVINO DALL ROSA DERLI MAIER DIEGO FERNANDO ALVES ILDO ADÃO ANTONINI JATIR JOSE BALBINOT JOÃO LUIS SIQUEIRA JOSE CELIO PORTELA MARCILEI ANDREA P. VIGNATTI NEURI LUIZ MANTELLI ORIDES ANTUNES ROBERTO CARLOS N. DOS SANTOS VALDEMIR ANTONIO STOBE VALMOR JÚNIOR SCOLARI 	Retirada 	
